Brand,Similar Brands,Coocurrence Frequency
Amber Sun,Farron Elizabeth,1000.0
Amber Sun,Alpro,1000.0
Amber Sun,Aquaz,1000.0
Amber Sun,Kristin Kahle,1000.0
Amber Sun,Kim Vo,1000.0
Amber Sun,Cajo Designs,1000.0
Amber Sun,Susanne Lang,1000.0
Amber Sun,Alvita,1000.0
Amber Sun,Arius-Eickert,1000.0
Ambiance,Akhassa,333.3333
Ambiance,Impulse,333.3333
Ambiance,Anatomicals,250.0
Ambiance,Aquis,142.8571
Ambiance,Aromafloria,142.8571
Ambiance,Ardell,125.0
Ambiance,Arconas,125.0
Ambiance,Andrea,125.0
Ambiance,Alice Hannah,111.1111
Ambiance,Annemarie Borlind,100.0
American Rag,Briggs,1000.0
American Rag,Brodie,1000.0
American Rag,Catherine Rapetti,1000.0
American Rag,Multiples,1000.0
American Rag,Ricardo,1000.0
American Rag,Six Degrees,1000.0
American Rag,Aaneta,1000.0
American Rag,Bostonian,1000.0
American Rag,Gretta,1000.0
American Rag,Farron Elizabeth,1000.0
Amici Accessories,Alpro,1000.0
Amici Accessories,Bobster Eyewear,1000.0
Amici Accessories,Chez by Cheryl,1000.0
Amici Accessories,Treksta,1000.0
Amici Accessories,Amaort,1000.0
Amici Accessories,Farron Elizabeth,1000.0
Amici Accessories,Smith & Wesson,1000.0
Amici Accessories,Top Choice,1000.0
Amici Accessories,Jason,1000.0
Amici Accessories,Alvita,1000.0
Angels,AWOL Footwear,1000.0
Angels,Alpro,1000.0
Angels,Amaort,1000.0
Angels,Aaneta,1000.0
Angels,Farron Elizabeth,1000.0
Angels,Aquaz,1000.0
Angels,Boblbee,1000.0
Angels,Etonic,1000.0
Angels,Kristin Kahle,1000.0
Angels,Creative Nail Design,1000.0
Ann Taylor,FEA,1000.0
Ann Taylor,Akribos XXIV,1000.0
Ann Taylor,Six Degrees,1000.0
Ann Taylor,Toe Warmers,1000.0
Ann Taylor,Aaneta,1000.0
Ann Taylor,Autunno,1000.0
Ann Taylor,Avenue Montaigne,1000.0
Ann Taylor,Farron Elizabeth,1000.0
Ann Taylor,Imagine by Vince Camuto,1000.0
Ann Taylor,Jhane Barnes,1000.0
Anne Klein,Muratori,1000.0
Anne Klein,Portmeirion,1000.0
Anne Klein,Six Degrees,1000.0
Anne Klein,Catherine Rapetti,1000.0
Anne Klein,Aaneta,1000.0
Anne Klein,Austin Reed,1000.0
Anne Klein,Farron Elizabeth,1000.0
Anne Klein,Kay J's by Kay Unger,1000.0
Anne Klein,La Nouvelle Renaissance,1000.0
Anne Klein,Oroblu,1000.0
Anne Klein New York,Portmeirion,1000.0
Anne Klein New York,Austin Reed,1000.0
Anne Klein New York,Zanetti,1000.0
Anne Klein New York,Toscani,1000.0
Anne Klein New York,Wilen Los Angeles,1000.0
Anne Klein New York,Creative Nail Design,1000.0
Anne Klein New York,Verdura,1000.0
Anne Klein New York,Good Hair Days,1000.0
Anne Klein New York,Happy Co.,1000.0
Anne Klein New York,Let's Jam,1000.0
Apple Bottoms,Aaneta,1000.0
Apple Bottoms,Suss,1000.0
Apple Bottoms,Aquaz,1000.0
Apple Bottoms,Etonic,1000.0
